OK, nested	doc#1009	nem jut az eszébe, hogy alapozás nélkül	furcsa egy helyzet	lesz. Vagy az EU-csatlakozás annyira feleslegessé 
OK, full	doc#1050	arról, mit is gondol az unió helyzetéről. '	Furcsa egy helyzet	' - vélekedett Bob Barr, az a republikánus 
OK, full	doc#2284	megbízik bennem, addigra elmegy az idő.	Furcsa egy helyzet	. - Várja új filmszerep? - Babonából inkább 
OK, nested	doc#2426	Sampras: tavaly 31 esztendősen nyert.	Furcsa egy helyzet	ez, annyi szent, hiszen ilyenkor beugranak 
OK, nested	doc#2463	nekilát szíve választottja keresésének.	Furcsa egy helyzet	is lett volna, ha az előbb említett két 
OK, nested	doc#2621	öreg ember mondta itt, hogy az árvíz az	furcsa egy helyzet	, mert tragédiát hoz, aztán? Kemény 
OK, nested	doc#2638	érzem, hogy énrajtam érdem nincsen. Valami	furcsa egy helyzet	. Engem néha megtapsolnak vagy gratulálnak 
OK, full	doc#1001	Bölcsész lángosos, lacikonyhás. Hmmmm.........	Gazdag egy ország	! bbc 06/07/99 11:07:45 Sziasztok!  
OK, full	doc#1004	elbéjé 06/27/99 17:29:30 Ami azt illeti,	fura egy dolog	, kóóóstolót meg ilyneket nézel, aztán pont 
OK, nested	doc#1007	szememben, aztán csak nyelek nagyokat. Milyen	fura egy dolog	így szeretni egy várost, nem?:﹚ Babe 
OK, nested	doc#1013	aldozat szemeibe. Ez a szemezes tenyleg	fura egy dolog	. Mindig is nagyon erdekesnek talaltam.  
OK, nested	doc#1053	szemétség. Csakhogy a vesztegetés tényállása	fura egy dolog	. Nemcsak az követ el vesztegetést, aki  
OK, nested	doc#2150	kedves képviselő úr! Nyilvánvalóan	fura egy dolog	, mert ez egy kvázi költségvetési intézmény 
OK, nested	doc#2245	látni se a pletyka mellett, se ellene...	Fura egy dolog	ez a HL2, lassan tényleg olyan lesz, mint 
OK, nested	doc#2280	leminősítésére gondol? - Maga a leminősítés is	fura egy dolog	, következménye pedig teljesen ellentétes 
OK, full	doc#2498	fokozatosan sikerült. ' Lejönni a drogokról...	fura egy dolog	- nem úgy történik, hogy egyszerűen csak 
OK, nested	doc#987	együtt. Amúgy elismerem, hogy kibaszottul	erős egy ország	, melynek semmmilyen tekintetben sincs ellenfele 
OK, nested	doc#1017	muzsikal...:﹚ tomcat 11/19/99 17:50:20	Furcsa egy társaság	ez a HUSZ-os. Újabban tényleg nagyon sok 
OK, full	doc#2633	Kings tagjainak a családja, ők maradtak.	Furcsa egy társaság	. A család nagyon meggazdagodott, de szeretnek 
OK, full	doc#2639	Kings tagjainak a családja. Ők maradtak.	Furcsa egy társaság	. A család nagyon meggazdagodott, de szeretnek 
OK, full	doc#2645	King's tagjainak a családja, ők maradtak.	Furcsa egy társaság	. A család nagyon meggazdagodott, de szeretnek 
OK, full	doc#2645	lábasfejűnek nevezi a polipokat és a tintahalakat.	Furcsa egy társaság	. Található köztük apró is, de régóta tudják 
OK, nested	doc#756	igazgatóék. Ebből kerekedett aztán	furcsa egy dolog	. A karmester amikor már azt is elmondta 
OK, nested, special	doc#980	vagy ajándékot vegyél neki. Azért az elég	furcsa egy dolog	, ha kavargó gyomorral díszíted a picinek 
OK, nested	doc#1461	mennyire eldúrvúlt a szív! A számadás	furcsa egy dolog	! Az ember azt hinné: - bevettél ennyit, 
OK, nested	doc#2639	adni. 2008-06-20 MR1 - Élhető világ	Furcsa egy dolog	a nevetés, hogy miért? Mert állítólag megerősíti 
OK, nested	doc#2643	templomot. És sokszor ez őrzi meg freskót. Ez	furcsa egy dolog	. Az első látszólagos rombolás egyfajta  
OK, nested	doc#984	Te most. Nekem meg most minden tetszik.	Fura egy ország	ez, ahol a fele elégedett a másik fele  
OK, nested	doc#990	építeni, most majd mindig betörnek hozzánk '	Fura egy ország	ez, ahol aszerint kell házat, autót etc 
OK, full	doc#1087	egyszer majd el kell innen mennünk.	Fura egy ország	: a maga paradicsomi mivoltából él. Bizonyára 
OK, nested	doc#2258	példával csak azt akartuk illusztrálni, hogy	fura egy ország	a miénk. De egy normális országban, ha  
OK, nested	doc#2341	idehaza, mint ha a díjjal együtt jövünk.	Fura egy ország	a miénk, és azon belül is fura helyzetben 
OK, nested	doc#988	04/13/99 11:40:58 Fudge! Jogos-jogos! Szóval,	fura egy helyzet	, hogy a barátnőd összeköltözött egy fiúval 
OK, nested	doc#2186	se hétköznap rendezzék meg a találkozót.	Fura egy helyzet	állt elő, ugyanis a hét közepén vagyunk 
OK, full	doc#2189	csak nacionalista szólamokra hivatkozást.	Fura egy helyzet	, mondhatom. A szlovák politika velünk szemben 
OK, nested	doc#2623	vízumáról. Pásztor Zoltán.: - Azért	fura egy helyzet	ez nem? Most akkor várnak ott Bangkokban 
OK, nested, special	doc#2652	hivataltól egy kétezer eurós díj. Ez egy nagyon	fura egy helyzet	, mert igazából, egy kis faluból egy olyan 
OK, nested	doc#974	nélkül is jó... Laci 06/04/98 11:42:00	Érdekes egy film	volt szerintem. Azt esetleg tudjátok 
OK, nested, special	doc#988	röhögni. ;-﹚﹚ A Phantom Menace azonban nagyon	érdekes egy film	, mert a látvány, már amennyit a trailerekből 
OK, nested	doc#998	rajongóknak pedig egyenesen kötelező!!﹚, elég	érdekes egy film	. A zenéje meg egyenesen fenomenálisan jó 
OK, full	doc#2597	optimizmus, ami vonzó a nézők számára. Hát	érdekes egy film	, nem mondom azt, hogy hülyeség 100 %-ig 
OK, nested, special	doc#2619	tudni lehet, hogy mitől működik, fordulatos,	érdekes egy film	. Rip :- Ha meg így van, bocsánat, 
OK, nested	doc#235	Megmosakodott, magára kapta a ruháját és indult.	Érdekes egy ember	volt: míg végezte a reggeli tisztálkodást 
OK, nested	doc#995	gedeonbacsi 04/20/99 23:49:20 Kéksav	Érdekes egy ember	lehetsz, az egyik topicon úgy csinálsz  
OK, nested, special	doc#1014	voltak, hiper-szuper konyhagépekkel﹚. Nagyon	érdekes egy ember	volt. A film vége felé volt egy mondata 
OK, nested	doc#2397	győző nyugatbarát erők törékeny koalícója	nehéz egy év	előtt áll, ugyanis az újdonsült ellenzék 
OK, nested	doc#2445	végén nem hosszabbították meg. ' Elég	nehéz egy év	van mögöttem, hiszen itt Máltán a futball 
OK, nested	doc#982	feketepont. KillerJack 10/15/98 08:52:00	Hosszú egy nap	volt, Vége-nincs út. Apróra váltott, de 
OK, full	doc#1070	létre 1948-ban, hivatkozva a holokausztra.	Furcsa egy ország	: a létrejötte utáni ötödik órától kezdve 
OK, nested	doc#1085	műsorszerkesztési bravúrból. A TV 2 szerint	furcsa egy ország	a miénk. Más nemzetek elbutultan hortyognak 
OK, nested	doc#2283	egyikük éppen Washingtonban. Juncker:	furcsa egy ország	Belgium Pintér Mónika Tegnap megkezdődött 
OK, nested	doc#2283	örömének adott hangot. Azon viccelődött, milyen	furcsa egy ország	Belgium. ' Előbb lett költségvetése, mint 
OK, nested	doc#2291	ki akarja fizetni őket, nem létezik?	Fura egy világ	ez D.J. Balog Zoltán fideszes képviselő 
OK, nested	doc#2291	budapesti Dohány utcai zsinagóga elé.	Fura egy világ	ez. Olyasmiért dicsérjük meg Balog Zoltánt 
OK, nested	doc#756	át is ragadt hozzájuk a csapatból.	Fura egy szerzet	volt első pillantásra a borús holdvilágon 
OK, nested	doc#2166	figyelemmel kísérve megállapíthatjuk, hogy	fura egy szerzet	ez a költségvetés. Mindjárt az elején az 
OK, nested	doc#2301	látott részeket, kiképzéseket - összességében	fura egy szerzet	ez a Compass. Rengeteg saját és sajtófotó 
OK, nested	doc#997	állapotot is előidézhetnénk, hogy egyetértenénk.	Fura egy jószág	a jog is. Nem véletlenül vannak a bíróságok 
OK, nested	doc#997	távozása is mutatja. Csak az a baj, hogy	fura egy jószág	a jog is. De HIGGYÉTEK EL amit el 
OK, nested	doc#1003	kérdés volt, és köszi a választ.﹚ Azért elég	fura egy jószág	lehet ez a zpe, eddig csak extrém helyzetekben 
OK, full	doc#494	ilyen tébolyt, soha ilyen gyötrelmeket.	Baromi egy dolog	! ' - kiált fel a költői láz kínjai között 
OK, nested	doc#1014	erőszakos külső befolyásolása történik﹚, igen	érdekes egy demokrácia	lesz. Főleg ha azt utána olyan 50 éves  
OK, nested	doc#2301	Fényterápia - Opel Astra GTC 1.6 Turbo	Érdekes egy szerzet	a panorámatetővel és 180 lóerős turbómotorral 
OK, nested	doc#2303	élete első új autóját Összegzés	Érdekes egy szerzet	az új Focus szedán, mert pont ott gyengélkedik 
OK, nested	doc#2304	túráztatnának egy Wartburgot. Az ötfokozatú váltó	érdekes egy szerzet	, nem igazán szereti kapkodást, mert a végén 
OK, nested	doc#2392	elmehetne egy japán sportmotornak	Érdekes egy szerzet	a BMW kipörgésgátlója: lassabb tempónál 
OK, nested	doc#975	erőszakot, a tömegmészárlást....	Undorító egy féreg	tud lenni az ember, tisztelet a - remélhetőleg 
OK, nested	doc#1000	még nem éltem eleget típusúpánikbetegség.	Undorító egy féreg	vagyok, de néha szeretném a kapcsolatot 
OK, nested	doc#664	vizenyősen, hallja? És ne pislogjon hozzá. Fuj.	Undorító egy alak	maga, Fekete úr. Na isten áldja, igyekezzen 
